dt 0.003333
ticks 2.000000
num 0.806543
num 4.000000
-10.490033 7.047854 -6.817472
-15.974840 1.755015 1.448132
-14.781895 2.180088 2.909833
5.882114 8.032376 12.343700
-1.292013 -13.372082 8.005219
-3.310421 -1.974653 4.667713
1.483300 -10.221059 0.515715
-6.143324 -4.108243 -11.345179
-5.512571 -7.464944 6.302186
-8.677305 -6.063577 12.908635
7.541268 7.579880 13.797174
-7.802478 1.988120 6.878090
-7.552919 -12.044758 -11.772994
2.012584 10.006907 0.680259
-3.258316 2.243163 5.476722
-7.860068 -5.202462 5.397192
2.429429 -13.690201 -7.130105
5.983583 8.402601 3.115513
-3.911008 -13.062190 -10.352429
9.474662 -13.248673 2.676728
-10.320004 -6.129394 -8.624715
-2.109249 10.747355 10.983469
-14.038704 4.848446 -1.297014
-11.296300 -1.645565 -3.515618
-15.061621 -1.535869 6.529806
-0.334914 -5.139386 -2.676442
0.989667 2.056680 5.879856
-9.735872 -13.490005 7.152331
-14.441836 -0.658299 -7.420801
0.836092 7.730712 -11.438420
-8.082204 -7.870820 -4.264294
6.490928 -3.178568 -6.452732
0.254703 2.865689 -7.832160
-16.564457 -7.371703 10.615986
-4.879076 -13.330946 12.291595
-7.421284 -1.289052 11.836356
3.241180 -10.399316 -12.431170
-16.213428 -3.666716 3.356844
-2.262823 2.517403 11.918628
-14.817546 -11.191871 2.778197
-10.051249 0.243951 -5.501118
-3.669676 9.269200 12.889439
-2.254596 -7.237325 -6.811986
-9.626176 -9.870032 -1.771449
-14.216960 8.866067 1.250679
-8.378384 -8.570132 -3.603375
-16.342323 3.850212 13.062209
-8.416777 -7.410096 4.763698
-16.325869 -1.993850 2.183096
-10.454382 11.943043 5.471237
-16.970333 -4.577194 13.215784
1.401028 -0.655557 1.626388
1.513466 1.058445 -8.627458
4.151658 7.160292 13.117058
-16.753683 0.224754 -12.324218
-11.002862 -8.342513 -7.050576
-6.990727 -6.296680 -7.223347
6.655472 11.175171 -11.265649
-11.792675 -7.566413 0.847546
-5.326088 -4.607360 5.260072
4.384763 -9.146037 -6.071538
-5.249300 -10.953281 -1.925024
-14.332141 2.415934 -5.210423
1.776737 6.460979 -13.363588
7.042151 -13.399505 -4.058614
-8.885728 -12.250439 13.920582
-7.358208 -9.771306 -8.251748
-11.104331 -7.832427 13.130770
8.698563 1.700167 -7.294650
4.859198 -11.633399 11.076711
6.778881 -7.357991 8.888272
-0.033249 -7.613034 11.372890
-16.643988 -2.909812 13.218526
1.173408 0.655312 5.729023
-3.442057 -3.559762 -4.064098
-8.331761 7.174005 -7.706010
-15.470238 -10.245741 1.955476
-6.562912 -6.414604 -1.184575
9.225104 11.973209 -2.191037
-0.617381 1.061187 4.867908
7.856646 7.919938 12.107854
-14.998545 -12.919585 1.165664
-3.985053 -8.402846 -4.738730
-9.132544 1.763242 0.255187
7.672904 -8.479633 -6.581625
8.616291 11.112095 8.956833
5.287013 -9.381884 -7.385149
5.454299 -13.555822 2.517669
9.504829 3.120732 -9.727161
7.544010 -5.065341 -7.127363
-12.121763 8.270966 -2.429626
9.126377 8.770083 -7.223347
-12.716865 0.913098 -1.472528
4.768699 -9.052795 11.691008
2.391035 -5.100993 5.303951
-1.344118 -6.754662 5.068104
2.081143 -7.544474 11.902173
-16.046143 8.251769 12.439684
-5.306891 7.972044 3.515904
-10.149975 8.303874 1.149210
-14.082582 -3.639292 5.978582
-5.976038 4.601630 8.460458
-8.710214 9.973998 3.869674
8.791805 12.927566 -10.028826
-14.035960 -7.774836 4.952923
3.589465 -12.579527 -3.806313
3.954205 0.869219 11.441450
3.696419 -4.423619 -13.053697
-7.558404 -7.355248 -3.449800
-1.558026 -11.021841 11.378374
-14.205990 -2.501194 -7.486618
-7.862811 -9.647898 13.322738
8.128143 5.100748 -0.279582
0.715427 0.614176 6.540775
1.497012 9.313079 -0.921304
-16.792076 -6.499619 2.098082
-8.005416 11.131291 -2.687412
1.650586 -5.986789 -12.880925
4.280551 2.462555 9.198164
-6.434019 8.575373 12.053006
8.772607 11.169684 10.975241
-13.394238 13.465077 12.261428
-10.193853 -9.376399 13.317253
-8.567609 8.805735 -13.204529
-11.672009 -5.827729 -7.516784
-1.826781 -3.696882 -7.034122
4.066643 1.675486 -1.612390
6.496413 4.061377 -4.576928
-6.351747 -5.306673 1.985643
1.779479 9.658622 -12.411973
-15.640267 10.385359 -0.690943
0.553625 -5.868865 8.564669
9.343027 -5.553489 -2.821790
5.492693 12.239223 4.341367
-4.914727 -12.461603 10.788758
-12.936257 -6.241832 -0.806123
5.251362 12.477812 -11.315013
-5.784069 -4.961130 -7.848615
-8.038325 -11.833594 -2.084083
-10.687486 1.691940 -11.868978
-15.601874 -10.127818 2.961938
0.427474 1.195565 7.958597
7.242347 -8.704511 4.045187
-3.197983 1.820833 -9.647632
-3.861644 -0.773480 -8.852334
-1.733540 6.496631 3.101801
-5.457723 -12.223015 -10.327747
-6.157036 10.865279 -8.660366
9.825690 -11.348188 -12.848017
-15.972097 1.129747 1.154695
1.310528 -7.352506 7.171527
-5.803266 13.369092 -8.613746
-0.653033 -7.451232 10.846348
3.271347 -9.118613 9.930386
7.746949 12.872718 -10.160460
-0.644805 -11.235749 -13.237437
-11.589737 5.495654 -1.886630
-4.736471 2.322693 0.762531
-13.449086 12.719143 9.077498
-0.175854 -12.190105 9.187194
-15.475723 -11.797942 9.253013
-4.975060 3.841985 -9.008652
-16.131159 10.440207 -7.555178
-15.692373 -9.955047 3.142937
-17.233604 4.752462 -7.876039
-1.165862 -2.520391 -9.765555
-10.909621 8.196920 -9.779266
-9.077696 4.272542 -7.226089
8.202188 -11.981684 -10.157719
3.830797 -1.434400 1.662039
-3.768403 -6.540755 2.588972
6.680154 -3.943698 6.927454
-5.441269 11.731878 8.221869
-11.595222 -9.453186 -0.060190
-1.176832 -10.297847 -1.842752
-14.323913 -13.566792 -3.556754
