dt 0.003333
ticks 1.000000
num 0.001160
num 2.000000
-13.888892 -7.031416 10.869182
-12.355889 9.225550 -7.148408
-16.049908 -12.036303 2.636487
4.929479 -10.582829 -12.644184
-15.811316 2.523116 11.115997
-0.047983 -5.495671 -0.580352
-14.607403 -8.528769 -8.876122
-1.087354 9.477851 -9.786600
7.071296 -7.571670 13.255073
-11.036793 -7.006735 -11.796781
-14.980369 9.834363 5.526979
-13.891635 -3.811836 -6.237929
-10.548645 -11.336989 12.728531
1.578262 8.836129 8.214536
-12.904370 -12.113090 -7.348603
-14.237177 7.067279 5.963022
3.637806 12.074906 -7.164863
-7.671865 -1.680988 -8.892576
-10.896931 5.964833 -7.022257
8.121636 -7.917212 -2.072219
1.715382 -10.692525 -8.884349
5.763170 -1.820851 8.129520
-1.932014 -0.627905 -2.179173
-8.472646 -0.871979 4.967529
-2.858947 2.580706 -5.881417
2.941236 10.613206 8.535397
1.016069 -5.070599 -8.426368
-7.674607 -13.059219 -1.935099
-9.594289 10.794205 -5.124515
-16.365282 -12.252953 -9.594632
-0.774720 -9.398111 2.992999
-6.421329 -12.003393 5.960280
3.473262 -5.953652 -1.987205
-11.151974 -10.289392 -3.443421
-1.874424 1.991090 -6.010310
-5.428578 -0.216545 -5.807373
1.394521 -8.059818 -3.638132
-3.048173 -13.388308 10.573001
-0.692448 12.667266 3.955583
-0.917325 6.919188 -3.605223
-3.445821 1.453579 -1.189166
8.143575 4.193240 -7.562510
-10.205845 -12.521708 -8.843213
7.836426 4.972082 13.027453
-14.607403 -6.784601 -2.930592
-14.283799 -8.866085 11.935976
-6.797038 -2.687450 -11.201679
8.209394 4.730751 -1.723934
-7.301640 -10.802221 11.395722
-3.352579 -11.666078 1.196725
-16.974096 -10.470390 5.121104
-9.761576 5.183247 -9.317649
2.902843 11.331716 10.093081
6.440543 8.921143 9.813355
-9.004672 -2.816344 10.775940
-15.029732 -8.476663 -9.432830
-16.603872 -7.802032 13.765159
-7.754137 3.935453 -11.443012
0.234484 -10.272937 -3.961735
6.958857 10.566586 4.391625
-4.243860 -8.665889 3.599070
-0.371587 -0.507240 4.564397
-11.796439 2.539570 -12.827925
-4.803311 11.194596 -7.164863
-12.693205 -0.424968 5.820417
-12.350405 4.563464 1.769888
-10.263435 5.350534 2.696820
-16.296722 -13.478806 2.628260
-15.852453 -8.962069 12.514624
-16.579191 1.280807 11.532844
6.780602 -7.843168 11.102286
7.883047 2.034968 -12.644184
0.859752 11.301550 -7.526859
-10.120831 -12.642374 9.958703
7.759639 -9.066280 -13.236543
8.236818 -10.492330 2.707790
-14.467540 -2.106061 -2.299839
-14.686932 9.546412 11.711100
3.835259 -3.447096 -3.937054
-9.756091 -1.124280 5.395345
-9.566865 -10.113878 2.474685
-10.005650 -2.566785 3.088983
-10.216815 4.887068 10.959681
-15.655001 6.052589 9.635099
-12.687719 -1.382066 12.182793
-15.975861 8.553660 5.850584
-10.071466 -13.023568 -9.652222
-11.127293 -8.323089 -10.505109
-0.399011 -6.888812 -11.059074
-11.497517 9.801455 -8.094537
-5.316140 -11.175188 -11.514315
-12.081649 -1.606943 -7.685919
10.118106 -6.419860 0.519352
-3.857182 9.077460 5.724433
4.594905 3.710576 5.666842
-7.142581 -5.114477 -3.259680
-8.349238 1.760728 7.764781
-10.748841 -8.770101 4.482124
-9.032097 11.488032 -6.627352
8.774328 9.809682 9.212770
-6.714766 -8.547965 -4.907865
-9.731409 5.578154 5.650388
-17.135899 2.141922 -7.112757
