dt 0.003333
ticks 3.000000
num 0.773370
num 4.000000
3.600820 8.767202 -12.575759
-4.821101 -9.390250 -6.249035
-15.925092 -1.544234 -10.913862
-8.523346 -1.124646 -7.450208
9.472304 -8.781436 -6.841394
3.611789 -13.119918 2.107068
-2.122576 -11.916002 4.232430
0.800826 -5.537173 -6.471169
-9.458505 2.892974 -1.068635
-2.270666 -4.744618 0.124310
1.969090 -10.766936 -8.944818
-7.662231 -3.724445 -10.195353
5.781030 -13.383189 -6.312110
3.471927 1.165260 5.277287
-8.819525 12.880807 -1.367557
-16.923328 -9.623354 -10.894666
1.960862 0.391903 -2.384989
-4.941767 -7.887413 -0.536609
4.555176 -0.647468 -6.109172
-15.585033 8.882383 -5.719750
-4.028546 -5.287614 -3.457268
-3.378597 -2.978511 -11.242950
-17.285324 13.347016 -7.625722
-6.987600 -8.479772 -3.183028
-8.361544 0.600325 -11.382813
-7.854199 -10.259591 2.293551
-7.793866 -8.633347 2.968183
5.877014 5.709423 2.438899
-9.302188 -10.709346 -8.615728
-15.960743 10.261812 -7.417298
-15.872986 -1.519552 -3.767160
-12.466921 2.413054 9.689814
-8.882601 -2.742664 6.217931
-16.361134 -13.558702 9.231833
-11.260264 7.077882 -10.294079
-5.065175 -9.722081 -6.841394
1.552244 -7.755778 -5.930916
-7.881623 -7.536385 13.183636
-11.866335 -0.680377 0.017357
8.213542 0.690825 2.943501
-1.478112 -9.447840 0.779745
-13.739396 0.800521 -10.595744
1.127172 -3.485856 -3.248846
-15.620685 5.204821 -0.873924
-12.000713 13.314107 3.360346
7.687000 -7.550097 -8.231792
-11.315112 -9.247644 -10.050005
-16.775236 -13.012964 -11.462342
-5.833048 -3.639430 -9.934825
-12.656147 -6.771255 4.876896
-15.897668 5.931558 -2.958151
-11.863592 -8.891132 -6.065294
-4.697693 -1.234342 -6.676849
7.135777 3.504530 1.835570
6.022361 0.241071 5.935463
-9.112962 1.746650 -12.477033
-9.324127 -13.750670 -6.879787
4.385147 1.247532 -6.136597
-14.844584 -10.410424 3.316468
-5.780942 10.289236 -1.822796
-8.534315 2.465160 12.720169
-10.177014 -7.758520 8.568171
-17.087872 -7.393781 -10.582031
-11.649685 5.610696 4.942713
-15.856532 -6.167926 12.116839
-0.531982 2.448705 -12.345396
8.452131 5.048503 -3.081559
-16.553102 6.150949 4.205007
7.780242 4.697476 12.555625
-15.889441 -6.436682 -6.386155
3.068793 -6.384576 -4.414367
6.047043 13.201669 -10.346185
-15.903152 -0.345804 0.916865
-17.178370 3.918633 1.487285
-2.089667 -7.454113 -4.392427
1.420609 -10.147153 -12.603184
5.819423 -13.262523 7.611072
5.791999 -13.076040 11.162484
-3.666549 -10.344606 -6.314853
-6.669481 -4.023366 3.804616
-12.867312 -11.748716 12.388337
4.574372 -12.820997 1.429695
0.754205 -2.583605 -13.280557
6.038815 -11.548521 -9.501525
-2.152743 -11.427855 -8.171459
-0.334529 -9.033737 -6.136597
-15.771518 -8.487999 13.523692
0.405920 -8.781436 -6.668623
-10.319619 -10.314440 -3.745221
-15.017356 -1.481159 0.371127
0.946173 -9.930504 -9.986930
9.176126 2.555659 0.406778
-16.446148 -13.470946 -10.167929
-2.794465 -7.377326 8.176006
4.204148 -0.891542 -3.103498
-13.081219 -7.654308 -3.196740
-3.650095 2.116874 -13.025513
9.252913 -11.405916 9.421058
